SOURCETYPE,EXAMPLE,TIME_PREFIX,TIME_FORMAT,LINE_BREAKER,MAX_TIMESTAMP_LOOKAHEAD
it:a:000,Mon Sep 2 14:05:27,^,%a%n%b%n%d%n%H:%M:%S,"([\r\n]+)\w{3}\s+\w{3}\s+\d{1,2}\s+\d{2}:\d{2}:\d{2}", 
it:a:001,Mon Sep 2 14:05:27 2019,^,%a%n%b%n%d%n%H:%M:%S%n%Y,"([\r\n]+)\w{3}\s+\w{3}\s+\d{1,2}\s+\d{2}:\d{2}:\d{2}\s\d{4}", 
it:a:152,"Mon, 02 Sep 2019 14:05:27 -0700",^,"%a,%n%d%n%b%n%Y%n%k:%M:%S%n%z","([\r\n]+)\w{3},\s+\d{1,2}\s+\w{3}\s+\d{4}\s+\d{2}:\d{2}:\d{2}\s+[+-]\d{2}",
it:b:000,Sep 02 14:05:27,^,%b%n%d%n%H:%M:%S,"([\r\n]+)\w{3}\s+\d{1,2}\s+\d{2}:\d{2}:\d{2}",
it:b:050,"Sep 02, 2019 2:05:27 PM",^,"%b%n%d,%n%y%n%I:%M:%S%n%p","([\r\n]+)\w{3}\s+\d{1,2},\s+\d{4}\s+\d{1,2}:\d{2}:\d{2}\s+\w{2}",
it:b:053,"Sep 02, 2019 2:05:27 PM EST",^,"%b%n%d,%n%y%n%I:%M:%S%n%p%n%Z","([\r\n]+)\w{3}\s+\d{1,2},\s+\d{4}\s+\d{1,2}:\d{2}:\d{2}\s+\w{2}\s+\w{3}",
it:b:053:ab,"<Sep 02, 2019 2:05:27 PM EST>",^<,"%b%n%d,%n%y%n%I:%M:%S%n%p%n%Z","([\r\n]+)<\w{3}\s+\d{1,2},\s+\d{4}\s+\d{1,2}:\d{2}:\d{2}\s+\w{2}\s+\w{3}>",
it:b:063,"Sep 02, 2019 2:05:27,333 PM EST",^,"%b%n%d,%n%y%n%I:%M:%S,%3N%n%p%n%Z","([\r\n]+)\w{3}\s+\d{1,2},\s+\d{4}\s+\d{1,2}:\d{2}:\d{2},\d{3}\s+\w{2}\s+\w{3}",
it:b:063:ab,"<Sep 02, 2019 2:05:27,333 PM EST>",^<,"%b%n%d,%n%y%n%I:%M:%S,%3N%n%p%n%Z","([\r\n]+)<\w{3}\s+\d{1,2},\s+\d{4}\s+\d{1,2}:\d{2}:\d{2},\d{3}\s+\w{2}\s+\w{3}>",
it:b:063:h4,"####<Sep 02, 2019 2:05:27,333 PM EST>",^####<,"%b%n%d,%n%y%n%I:%M:%S,%3N%n%p%n%Z","([\r\n]+)####<\w{3}\s+\d{1,2},\s+\d{4}\s+\d{1,2}:\d{2}:\d{2},\d{3}\s+\w{2}\s+\w{3}>",
it:d:010,02-09-2019 14:05:27,^,%d-%m-%Y%n%H:%M:%S,([\r\n]+)\d{2}-\d{2}-\d{4}\s+\d{2}:\d{2}:\d{2},
it:d:160,"02 Sep 2019 14:05:27,333",^,"%d%n%b%n%Y%n%H:%M:%S,%3N","([\r\n]+)\d{1,2}\s+\w{3}\s+\d{4}\s+\d{2}:\d{2}:\d{2},\d{3}"
it:d:300,02/Sep/2019:14:05:27,^,%d/%b/%Y:%H:%M:%S,"([\r\n]+)\d{1,2}/\w{3}/\d{4}:\d{2}:\d{2}:\d{2}",
it:d:301,02/Sep/2019:14:05:27Z,^,%d/%b/%Y:%H:%M:%S%n%Z,"([\r\n]+)\d{1,2}/\w{3}/\d{4}:\d{2}:\d{2}:\d{2}Z",
it:d:302,02/Sep/2019:14:05:27 -0500,^,%d/%b/%Y:%H:%M:%S%n%z,"([\r\n]+)\d{1,2}/\w{3}/\d{4}:\d{2}:\d{2}:\d{2}\s+[+-]\d{2}",
it:d:302:web,10.10.10.10 - john.doe [02/Sep/2019:14:05:27 -0500],\[,%d/%b/%Y:%H:%M:%S%n%z,"([\r\n]+)[\w.-]+\s+[\w.-]+\s+[\w.-]+\s+\[\d{1,2}/\w{3}/\d{4}:\d{2}:\d{2}:\d{2}\s+[+-]\d{2}",31
it:d:303,02/Sep/2019:14:05:27 EST,^,%d/%b/%Y:%H:%M:%S%n%Z,"([\r\n]+)\d{1,2}/\w{3}/\d{4}:\d{2}:\d{2}:\d{2}\s+\w{3}",
it:h:000,14:05:27,^,%H:%M:%S,([\r\n]+)\d{2}:\d{2}:\d{2},
it:h:010,14:05:27.333,^,%H:%M:%S.%3N,([\r\n]+)\d{2}:\d{2}:\d{2}\.\d{3},
it:h:020,14:05:27.333666,^,%H:%M:%S.%6N,([\r\n]+)\d{2}:\d{2}:\d{2}\.\d{6},
it:h:030,14:05:27.333666999,^,%H:%M:%S.%9N,([\r\n]+)\d{2}:\d{2}:\d{2}\.\d{9},
it:m:000,9/2/19 14:05:27,^,%m/%d/%y%n%H:%M:%S,"([\r\n]+)\d{1,2}/\d{1,2}/\d{2}\s+\d{2}:\d{2}:\d{2}",
it:m:001,9/2/19 14:05:27Z,^,%m/%d/%y%n%H:%M:%S%Z,"([\r\n]+)\d{1,2}/\d{1,2}/\d{2}\s+\d{2}:\d{2}:\d{2}Z",
it:m:002,9/2/19 14:05:27-0700,^,%m/%d/%y%n%H:%M:%S%z,"([\r\n]+)\d{1,2}/\d{1,2}/\d{2}\s+\d{2}:\d{2}:\d{2}[+-]\d{2}",
it:m:003,9/2/19 14:05:27 EST,^,%m/%d/%y%n%H:%M:%S%n%Z,"([\r\n]+)\d{1,2}/\d{1,2}/\d{2}\s+\d{2}:\d{2}:\d{2}\s+\w{3}",
